Player_Id,First_Name,Last_Name,Country,Gender,Age,Betting_Platform_Tenure,Game_Genre,Daily_playtime,Bet_frequency,Average_bet,Total_bet,Withdraw_Frequency,Welcome_bonus,Other_bonus,Max_win,Avg_profit,Max_loss
410133,Brian,Snyder,Argentina,Female,53,More than a year,Cricket,1 - 2 hours,Weekly,1711,92,Monthly,570,1000,50516,18831,57928
634893,Kayla,Reed,India,Female,64,1-3 months,Football,1 - 2 hours,No,69748,121,Monthly,432,394,8459,5980,111729
683361,Mike,Williams,Argentina,Male,22,1-3 months,Cricket,2 - 4 hours,Occasionally,71061,7,Monthly,244,2461,21041,258,123540
615062,Heather,Smith,Brazil,Female,63,Less than a month,Baseball,Less than 1 hour,Daily,1514,75,Daily,523,210,870,615,3726
195699,Kaitlyn,Kennedy,Brazil,Female,31,3-6 months,Basketball,Less than 1 hour,Daily,5059,104,Monthly,625,281,39358,39243,74432
469520,Jon,Wang,India,Female,56,3-6 months,Football,1 - 2 hours,Daily,67117,120,Monthly,469,178,20268,3888,131092
135633,Shelby,Stephenson,India,Male,33,1-3 months,Cricket,2 - 4 hours,Weekly,80475,77,Daily,446,276,29540,20884,75253
986099,Kelly,Ruiz,Mexico,Male,54,6-12 months,Cricket,1 - 2 hours,Daily,2310,83,Monthly,591,239,58727,28782,82342
799859,Steven,Johnson,India,Female,27,More than a year,Basketball,2 - 4 hours,Weekly,4940,91,Daily,2926,375,67421,2741,7227
888611,Dwayne,Arnold,Brazil,Male,58,More than a year,Avitaor,4 - 6 hours,Monthly,3697,119,Weekly,108,52,23047,1393,29542
799913,Matthew,Smith,India,Female,61,1-3 months,Basketball,1 - 2 hours,Monthly,11933,113,Daily,568,118,4677,3307,26298
416766,David,Bailey,India,Male,57,Less than a month,Cricket,1 - 2 hours,Monthly,56916,254,Monthly,523,228,63511,13677,25075
172287,Megan,Frey,Brazil,Female,44,3-6 months,Avitaor,1 - 2 hours,Monthly,7468,106,Weekly,514,141,60000,21603,61776
303737,Dennis,Bautista,Brazil,Male,30,6-12 months,Cricket,4 - 6 hours,Daily,16015,82,Monthly,444,21,33744,846,55007
600529,Elizabeth,Leach,Mexico,Male,21,1-3 months,Cricket,2 - 4 hours,Occasionally,6176,43,Monthly,373,130,14885,3818,25641
387669,Sandra,Morgan,Brazil,Female,63,3-6 months,Cricket,2 - 4 hours,Monthly,322,110,Daily,340,19,78869,7111,27130
499304,Phillip,Benton,India,Female,69,1-3 months,Cricket,Not using per day.,Daily,63760,98,Weekly,874,404,9770,2495,75019
888938,Karina,Santos,Argentina,Male,20,1-3 months,Ladie badminton ,4 - 6 hours,Daily,6900,62,Daily,579,122,79033,26467,52555
