Customer_id,First_name,Last_name,Country,Gender,Age,Winning_percentage,Days_Since_Last_Bet,Income_Level_(k),Total_Amount_wagered,Average_Bet_Amount,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_bets_after_bonus,Increase_in_wagering_after_bonus,Should_Receive_Bonus,withdraw_frequency
606778,Tammy,Robinson,Mexico,Female,69,76,3,45124,4340,600.0,49,32.0,61621.0,54.0,719.0,4312.0,217.0,20241.0,0,Weekly
882088,Timothy,Smith,Argentina,Male,41,70,7,36256,30174,472.0,50,24.0,14323.0,39.0,402.0,4291.0,332.0,16955.0,0,Weekly
823104,Mary,Mckinney,Mexico,Female,51,20,5,31652,7685,546.0,54,20.0,58136.0,46.0,307.0,2858.0,281.0,25409.0,0,Weekly
243455,Sarah,White,India,Female,38,77,19,29271,844,243.0,7,32.0,38810.0,37.0,423.0,2534.0,273.0,21905.0,1,Monthly
485861,Edward,Stephenson,Brazil,Male,51,16,13,44007,3476,653.0,48,29.0,54909.0,48.0,460.0,2200.0,360.0,26404.0,1,Weekly
260647,Robert,Graves,India,Female,33,66,17,37740,1566,344.0,9,19.0,39467.0,32.0,387.0,2559.0,297.0,35788.0,1,Monthly
230284,Philip,Wilson,India,Female,58,26,4,21313,13188,672.0,9,30.0,57978.0,49.0,785.0,3285.0,354.0,20922.0,0,Monthly
369743,Jason,Tran,Mexico,Male,63,74,16,26771,51730,541.0,3,26.0,56959.0,65.0,305.0,1247.0,157.0,23444.0,1,No
718771,Sean,Cox,Mexico,Female,38,13,17,35246,10060,597.0,9,17.0,45781.0,35.0,658.0,2186.0,256.0,27924.0,1,Occasionally
208052,Katherine,Newton,Mexico,Male,55,44,13,24004,9034,756.0,50,33.0,41155.0,55.0,537.0,2417.0,283.0,37250.0,0,Weekly
889037,Jose,Ward,Mexico,Male,46,10,26,26180,15451,517.0,349,24.0,52342.0,46.0,608.0,2130.0,225.0,21916.0,1,Daily
536159,Richard,Johnson,Mexico,Female,60,20,33,20725,38225,640.0,9,23.0,50092.0,50.0,741.0,2885.0,408.0,24637.0,0,Occasionally
416916,Bailey,Myers,Argentina,Female,26,54,20,20966,1298,446.0,45,17.0,58701.0,38.0,472.0,2643.0,297.0,15135.0,0,Weekly
177238,Tony,Cook,India,Female,44,50,30,23944,26799,605.0,347,36.0,48310.0,60.0,605.0,2826.0,301.0,32326.0,1,Daily
700477,Jessica,Marshall,Mexico,Female,37,9,31,43869,4087,591.0,302,30.0,51208.0,33.0,384.0,2691.0,200.0,23533.0,0,Daily
468643,Shannon,Davidson,India,Female,61,64,32,25885,19184,421.0,50,29.0,39796.0,36.0,491.0,1729.0,279.0,18283.0,0,Weekly
761711,Monica,Gaines,India,Female,66,79,19,27707,62554,568.0,5,27.0,41221.0,48.0,572.0,2321.0,206.0,31108.0,0,No
871400,Cassandra,Curtis,Mexico,Female,55,77,23,23975,12014,555.0,9,23.0,44031.0,54.0,726.0,2467.0,342.0,29705.0,1,Occasionally
973427,Stephanie,Campos,Argentina,Male,59,71,32,23170,19104,568.0,6,35.0,64850.0,53.0,591.0,2366.0,270.0,30546.0,1,Occasionally
610198,Martin,Guerrero,Brazil,Female,52,62,34,21663,20686,426.0,13,12.0,31868.0,16.0,285.0,3280.0,359.0,21641.0,0,Monthly
421535,Jason,Hernandez,Mexico,Male,31,55,27,20573,17902,326.0,14,21.0,47052.0,53.0,613.0,2241.0,301.0,35336.0,0,Monthly
827229,Joseph,Nelson,Argentina,Female,30,49,7,58048,22314,574.0,7,36.0,71579.0,51.0,647.0,2499.0,307.0,24099.0,1,Monthly
552620,Robert,Hall,India,Male,36,45,30,24188,18825,307.0,6,22.0,29591.0,28.0,412.0,2329.0,147.0,12636.0,0,Occasionally
288435,Larry,Robinson,Mexico,Male,38,7,7,55163,1101,667.0,305,22.0,68059.0,60.0,635.0,2206.0,175.0,21007.0,1,Daily
243972,Steven,Olson,India,Male,62,21,24,26407,37290,251.0,12,25.0,34052.0,28.0,431.0,2890.0,339.0,31283.0,0,Monthly
605766,William,Watts,Brazil,Female,57,51,36,24891,7553,463.0,13,21.0,55310.0,28.0,389.0,2451.0,307.0,31756.0,1,Monthly
973971,Haley,Larsen,Mexico,Male,31,11,13,23409,1708,553.0,305,29.0,60092.0,56.0,600.0,1976.0,217.0,34298.0,1,Daily
229520,Jessica,Jimenez,India,Female,68,61,39,24402,5623,486.0,328,30.0,47536.0,57.0,514.0,2654.0,210.0,13889.0,1,Daily
564368,Toni,Williams,Mexico,Female,41,37,2,31584,2141,539.0,343,31.0,55344.0,45.0,432.0,2042.0,339.0,41710.0,1,Daily
404282,Krista,King,India,Female,50,54,5,21762,19394,463.0,341,33.0,50939.0,35.0,595.0,3763.0,269.0,29014.0,0,Daily
172833,Brian,Farley,Mexico,Male,26,65,4,21439,13026,362.0,13,24.0,48157.0,47.0,387.0,3692.0,281.0,27007.0,0,Monthly
488590,Tammy,Vega,India,Female,56,74,30,20523,27913,465.0,5,40.0,55254.0,35.0,468.0,1122.0,245.0,14957.0,0,No
343978,Chelsea,Roberts,India,Male,37,22,39,32786,22687,293.0,345,35.0,31770.0,35.0,334.0,2246.0,282.0,16750.0,0,Daily
903385,Anne,White,Argentina,Female,52,46,9,41941,670,463.0,11,18.0,52703.0,58.0,641.0,1940.0,252.0,38486.0,1,Monthly
650190,Jessica,Acevedo,Brazil,Female,45,31,15,42294,5075,558.0,6,30.0,58229.0,53.0,528.0,2982.0,333.0,27922.0,1,Occasionally
869685,Andrew,Gallegos,India,Female,42,14,16,20913,13112,189.0,349,27.0,33551.0,31.0,255.0,1309.0,184.0,20411.0,0,Daily
703212,Kylie,Glass,Brazil,Male,35,64,32,43761,1391,825.0,54,36.0,73122.0,55.0,778.0,2021.0,365.0,25713.0,0,Weekly
619058,James,Harris,India,Female,50,23,23,22657,2877,445.0,336,29.0,33759.0,38.0,415.0,1994.0,126.0,22718.0,0,Daily
568249,Tiffany,Petersen,India,Male,18,55,36,25681,23895,379.0,8,19.0,34424.0,50.0,372.0,1228.0,200.0,18917.0,0,Monthly
181607,Sean,Salazar,Brazil,Female,49,76,2,26930,7905,394.0,8,23.0,52240.0,32.0,464.0,2355.0,326.0,33492.0,0,Occasionally
283751,Charles,Petersen,Brazil,Female,56,36,14,32292,191,387.0,12,24.0,35783.0,38.0,593.0,3496.0,417.0,33485.0,1,Monthly
218451,John,Mckee,India,Male,46,64,3,42592,19332,522.0,9,31.0,49685.0,37.0,343.0,1129.0,168.0,23990.0,1,Monthly
944998,Wendy,Cobb,Argentina,Female,47,74,8,36926,3128,547.0,47,37.0,51702.0,50.0,659.0,2900.0,221.0,10220.0,0,Weekly
170941,Ann,Nelson,India,Male,21,53,12,31409,12048,481.0,8,40.0,59152.0,57.0,691.0,3613.0,240.0,23729.0,0,No
799479,Candace,Miller,Argentina,Male,40,45,29,62866,53903,595.0,53,22.0,53087.0,48.0,508.0,2488.0,327.0,21467.0,1,Weekly
281127,Stephanie,Carter,Argentina,Male,68,47,17,24407,4189,488.0,8,15.0,24750.0,57.0,550.0,2478.0,236.0,11195.0,0,Monthly
870099,Megan,Lang,Mexico,Female,42,45,17,20090,32005,642.0,348,26.0,49226.0,60.0,508.0,4189.0,152.0,29809.0,1,Daily
903966,Lisa,Madden,Brazil,Male,40,70,24,39723,12925,703.0,10,43.0,49949.0,55.0,632.0,3840.0,314.0,32325.0,1,Monthly
406734,Thomas,Mckenzie,Mexico,Female,31,21,5,29926,24645,469.0,45,21.0,25091.0,57.0,661.0,2936.0,278.0,23369.0,1,Weekly
