customer_id,first_name,last_name,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
7642,Denise,Macdonald,Azerbaijan,69,Female,65937,33,26,4,-82.39554237598304,-2.79504790021889,-787.4764840814066,-7235.461931991449,-2334.008727958675,-2080.054617689694,-4858.7641004178295,-43749.71208029459,1
2841,Denise,Richards,Aruba,31,Female,69914,54,2,37,-178.99919595990798,-520.7816252513705,-14725.340601436867,-366356.5934095105,-257367.6210150457,-222473.45356278948,-824986.4989477263,-1773943.145956799,1
1449,William,Weaver,Saint Vincent and the Grenadines,19,Female,123848,40,26,6,-61.553424530364836,14.054674913218378,-839.2190278546002,-2550.571482084264,-2309.2994147842755,-1997.7503111073866,-4868.663028886585,-47270.450321669545,1
5623,Jessica,Baker,Honduras,63,Male,133766,65,35,18,-40.33394971466508,-50.243692360498216,-272.2377334261312,-4557.867527910352,-3656.6598931302724,-3261.8449980962123,-4461.773074373312,-45679.642561916524,1
7210,Jonathon,Henderson,Turkey,55,Female,120076,67,19,26,13.826569858868261,-117.27524018299266,-1231.0627977685747,-25031.844222650492,-1627.0453013749202,-1591.3258556755634,-5085.636828360788,-36500.13642257297,0
4398,Michele,Hammond,Indonesia,62,Female,74669,27,32,39,-104.06621456931663,-76.97054596346487,-656.5556840011959,-17356.15963884242,-2485.7262956652357,-2317.9513229979552,-4807.587512237456,-38437.72375795254,1
9562,Susan,Reid,Saint Helena,56,Female,125349,78,9,28,-44.0790073932139,-40.98359367675127,-306.01638162162055,-4025.4327854412822,-3558.488020098016,-3164.143337560882,-4489.732291771565,-46089.57708794768,1
2145,Andrew,Salazar,Chile,52,Female,90177,23,31,16,-16.682100949846255,-54.15779477868047,-546.0981641799893,-9622.347762195352,-2819.62244044168,-2551.596009522874,-4706.221997308094,-42214.3282233849,1
5774,Douglas,Johnson,Jamaica,64,Male,58776,48,38,5,-152.60489615739084,-322.0558383125577,-5419.607054266382,-80595.47349677634,-22476.28510457114,-21095.384716641154,-4376.844670052204,-76263.63029456403,0
8517,Sara,Ford,Costa Rica,63,Male,74701,49,16,31,-15.381056216806787,-37.234499858766384,-673.4232589954006,-9754.94462411044,-2527.03353575056,-2284.8355185056616,-4796.754084917935,-42134.15551321196,0
