customer_id,first_name,last_name,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
9936,Misty,Brown,Luxembourg,37,Male,24678,54,9.0,293.0,37.0,95151.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26,Male,121168,38,14.0,300.0,42.0,94933.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
5609,Cynthia,Munoz,Nicaragua,74,Male,60929,33,7.0,148.0,28.0,89927.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
2456,Angela,Anderson,Saint Martin,62,Male,32434,16,35.0,336.0,31.0,94270.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
8815,Jason,Myers,American Samoa,32,Female,68083,16,19.0,141.0,39.0,98939.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0
7534,Rachel,Harris,Congo,47,Male,137757,29,16.0,256.0,48.0,88466.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1
6052,Rhonda,Hensley,Christmas Island,29,Female,82996,70,11.0,343.0,31.0,95442.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
2394,Cassidy,Gomez,San Marino,32,Male,23823,32,20.0,329.0,41.0,97800.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
7528,Jody,Edwards,Western Sahara,36,Male,143130,24,8.0,235.0,39.0,93816.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
5285,Ashley,Jones,Congo,80,Female,81637,19,26.0,314.0,43.0,95505.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
4727,Andrew,Peterson,India,26,Male,128296,61,10.0,97.0,20.0,78771.0,964.0,99.0,1000.0,5000.0,500.0,50000.0,1
7135,Robin,Eaton,Montenegro,64,Male,26989,22,18.0,199.0,47.0,89555.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
7080,Lacey,Nichols,Portugal,49,Female,46011,31,6.0,249.0,35.0,92917.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
7859,Dennis,Freeman,Lithuania,52,Male,22975,68,7.0,285.0,35.0,93762.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
3836,Seth,Lin,Croatia,58,Male,26679,78,26.0,300.0,45.0,92805.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
5261,George,Torres,Montserrat,49,Female,49662,8,18.0,228.0,49.0,86589.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
8834,Benjamin,Marshall,China,53,Female,71015,20,23.0,307.0,45.0,93695.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
4528,Michael,Gilbert,Malawi,21,Male,26630,38,1.0,358.0,10.0,38516.0,649.0,87.0,962.0,4921.0,500.0,49860.0,1
4659,Anthony,Johnson,Equatorial Guinea,71,Female,102965,40,3.0,271.0,28.0,86152.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
3939,David,Little,Sweden,60,Male,25984,33,11.0,278.0,42.0,94157.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
7191,Cynthia,Newman,Puerto Rico,74,Male,139680,79,28.0,358.0,33.0,98786.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
5490,Jonathan,Meyer,Burundi,80,Male,97381,22,33.0,184.0,41.0,95119.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
4714,Julie,Cline,Monaco,25,Male,55386,23,31.0,148.0,37.0,97904.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,0
1345,Brian,Jackson,Comoros,43,Female,124803,40,13.0,242.0,46.0,90757.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
7250,Theresa,Oliver,Netherlands Antilles,25,Female,97040,26,23.0,228.0,50.0,85307.0,980.0,100.0,1000.0,5000.0,500.0,50000.0,1
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26,Male,121168,12,12.0,322.0,37.0,97165.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
7681,Brandon,Welch,Pitcairn Islands,77,Female,41032,27,10.0,365.0,25.0,87404.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
7964,Beverly,Glover,Egypt,46,Female,32775,32,28.0,314.0,42.0,96024.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
2256,Bonnie,Stein,Fiji,51,Female,45034,45,2.0,249.0,27.0,83631.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
3678,Kevin,Wilson,Dominica,58,Male,21215,63,3.0,220.0,29.0,86885.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
8890,Edward,Martin,Germany,75,Male,58008,8,38.0,249.0,37.0,93291.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
7500,William,Harris,Cape Verde,74,Female,31463,63,25.0,307.0,45.0,93921.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
9730,Ashley,Tran,Finland,46,Male,69494,8,31.0,285.0,44.0,93253.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
9281,Darren,Jackson,Netherlands Antilles,60,Female,96639,56,38.0,90.0,13.0,54883.0,816.0,96.0,992.0,4982.0,500.0,49988.0,1
9429,Melissa,Lee,Czech Republic,49,Male,27650,14,11.0,162.0,37.0,96603.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
1905,Anna,Summers,Thailand,43,Male,129735,17,17.0,141.0,38.0,98899.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0
4052,Alice,Reed,Nepal,24,Male,59738,45,7.0,285.0,35.0,93762.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
3354,Barry,Jennings,Lithuania,74,Female,63006,30,15.0,220.0,47.0,89423.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
7135,Robin,Eaton,Montenegro,64,Male,26989,57,27.0,90.0,25.0,91268.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
